
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=10;

Q=[1 1 2 2];

P=[	19	8	11	16	10	13	11	7	11	15																			];
len=[	10	4	6	8	5	7	6	4	6	8																			];
ArrivalTime=[	1	23	54	70	36	42	78	42	43	22																			];
L=[	10	10	3	7	7	10	8	4	10	5																			];
weight=[	1	9	6	8	3	7	4	4	5	3																			];
Ls=[	10	9	8	8																									];
																													
dist=[[	1	3	3	2	],																								
[	3	1	2	3	],																								
[	3	2	3	2	],																								
[	3	3	2	2	]];																								



B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10];




D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



