
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=14;

Q=[1 1 2 2];


P=[	17	17	13	7	11	9	7	18	10	13	18	16	7	9															];
len=[	9	9	7	4	6	5	4	9	5	7	9	8	4	5															];
ArrivalTime=[	1	11	58	55	85	69	55	23	23	47																			];
L=[	10	7	6	5	8	9	10	9	3	7																			];
weight=[	5	3	4	8	1	10	8	6	7	7																			];
Ls=[	10	8	9	9																									];
																													
dist=[[	1	3	3	3	],																								
[	2	1	3	3	],																								
[	3	3	2	1	],																								
[	2	3	1	2	]];																								
																													


B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 1 2 3 4];




D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



