
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=35;

Q=[1 1 2 2];
P=[	7	20	16	18	10	8	19	9	15	17	9	17	19	11	8	10	18	10	14	7	14	11	9	15	17	12	9	6	7	15	9	6	17	17	10	];
len=[	4	10	8	9	5	4	10	5	8	9	5	9	10	6	4	5	9	5	7	4	7	6	5	8	9	6	5	3	4	8	5	3	9	9	5	];
ArrivalTime=[	1	112	60	44	152	21	209	66	194	145	67	100	143	213	71	28	78	88	42	43	150	135	192	151	58											];
L=[	3	3	3	5	7	7	9	8	10	10	10	8	6	5	3	8	6	3	5	3	5	3	10	10	5											];
weight=[	2	2	1	3	6	1	1	7	3	4	2	9	7	4	5	6	4	5	6	6	8	8	7	9	7											];
Ls=[	10	9	10	7																																];
																																				
dist=[[	1	3	1	3	],																															
[	3	3	1	3	],																															
[	2	3	1	3	],																															
[	2	1	3	3	]];																															


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];



AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];


