
nbSections=4;
nbReclaimer=4;

nbVessel=20;
nbTask=20;

Q=[1 1 2 2];

P=[	17	13	6	8	10	11	18	6	7	7	15	19	10	16	20	11	13	7	9	9									];
len=[	9	7	3	4	5	6	9	3	4	4	8	10	5	8	10	6	7	4	5	5									];
ArrivalTime=[	1	85	40	10	109	107	64	118	47	90	10	66	72	79	132	25	30	132	85	70									];
L=[	10	9	9	8	8	8	3	5	8	4	3	8	3	9	10	6	8	10	10	7									];
weight=[	6	5	5	6	3	5	6	10	8	4	6	6	9	8	6	1	2	10	3	3									];
Ls=[	10	9	8	8																									];
																													
dist=[[	2	1	2	3	],																								
[	3	2	3	3	],																								
[	2	2	3	2	],																								
[	1	2	3	1	]];																								


B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];

AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



