
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=10;

Q=[1 1 2 2];


P=[	19	8	13	12	10	8	7	9	11	6																			];
len=[	10	4	7	6	5	4	4	5	6	3																			];
ArrivalTime=[	1	72	89	67	61	40	47	53	35	21																			];
L=[	6	3	3	7	9	3	4	10	10	10																			];
weight=[	4	7	2	8	7	1	6	6	2	5																			];
Ls=[	10	7	9	8																									];
																													
dist=[[	1	1	3	3	],																								
[	2	1	3	2	],																								
[	1	2	3	3	],																								
[	3	1	2	2	]];																								


B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 ];




D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



