
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=14;

Q=[1 1 2 2];

P=[	14	15	13	12	16	6	13	7	12	19	14	16	9	9															];
len=[	7	8	7	6	8	3	7	4	6	10	7	8	5	5															];
ArrivalTime=[	1	16	96	1	68	43	24	80	82	95																			];
L=[	6	5	7	3	10	4	6	6	4	9																			];
weight=[	7	4	3	4	9	4	1	7	10	3																			];
Ls=[	10	9	7	8																									];
																													
dist=[[	3	1	3	2	],																								
[	2	1	1	2	],																								
[	1	2	2	2	],																								
[	1	1	3	2	]];																								
																													



B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 1 2 3 4 ];




D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];


