
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=25;

Q=[1 1 2 2];

P=[	12	13	17	20	7	15	8	10	15	12	16	13	17	13	10	13	12	9	17	7	12	14	8	12	6											];
len=[	6	7	9	10	4	8	4	5	8	6	8	7	9	7	5	7	6	5	9	4	6	7	4	6	3											];
ArrivalTime=[	1	19	184	65	153	169	136	132	105	214	94	190	70	128	31	91	57	16	52	162	195	150	21	194	132											];
L=[	3	6	9	8	7	4	7	9	7	5	9	5	7	9	7	3	4	3	9	7	4	5	10	5	8											];
weight=[	1	5	1	1	2	3	3	9	4	7	7	9	6	3	5	8	9	8	6	10	3	8	7	7	9											];
Ls=[	10	10	7	10																																];
																																				
dist=[[	3	1	3	3	],																															
[	3	2	3	1	],																															
[	3	2	3	2	],																															
[	1	1	3	2	]];																															


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];


