
nbSections=4;
nbReclaimer=3;

nbVessel=20;
nbTask=28;

Q=[1 1 2];

P=[	10	13	6	9	7	12	18	12	8	8	18	13	16	9	8	18	11	12	14	11	17	8	6	9	11	17	12	7	];
len=[	5	7	3	5	4	6	9	6	4	4	9	7	8	5	4	9	6	6	7	6	9	4	3	5	6	9	6	4	];
ArrivalTime=[	1	66	2	20	10	74	45	91	102	92	105	121	86	111	98	120	134	33	143	9									];
L=[	9	8	8	8	10	8	8	7	6	10	6	7	3	6	10	6	5	5	9	8									];
weight=[	7	10	5	9	10	3	8	2	4	8	4	5	8	7	3	2	2	4	10	10									];
Ls=[	10	7	9	8																									];
																													
dist=[[	1	1	3	1	],																								
[	3	1	2	3	],																								
																													
[	3	2	1	2	]];																								





B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 1 2 3 4 5 6 7 8 ];
