
nbSections=4;
nbReclaimer=3;

nbVessel=20;
nbTask=20;

Q=[1 1 2];


P=[	16	17	13	9	12	18	9	9	13	17	10	6	17	11	11	19	16	14	20	14									];
len=[	8	9	7	5	6	9	5	5	7	9	5	3	9	6	6	10	8	7	10	7									];
ArrivalTime=[	1	79	30	92	140	97	58	91	95	103	17	78	95	141	131	139	84	4	117	36									];
L=[	5	9	3	9	4	4	4	9	8	3	9	3	10	5	7	8	10	6	6	3									];
weight=[	2	8	5	3	1	2	7	6	6	6	1	7	8	3	10	2	2	6	7	8									];
Ls=[	10	7	7	9																									];
																													
dist=[[	3	2	3	1	],																								
[	3	1	2	2	],																								
																													
[	3	2	2	3	]];																								



B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20];
