
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=25;

Q=[1 1 2];

P=[	12	10	8	18	6	12	8	13	17	11	11	20	7	9	14	9	16	12	8	12	20	12	11	8	20											];
len=[	6	5	4	9	3	6	4	7	9	6	6	10	4	5	7	5	8	6	4	6	10	6	6	4	10											];
ArrivalTime=[	1	209	75	68	36	85	183	39	60	86	20	83	37	7	99	183	194	129	47	211	194	176	114	139	59											];
L=[	4	8	7	4	9	9	9	8	8	4	9	4	3	5	10	7	3	8	9	9	5	8	6	4	3											];
weight=[	6	8	4	4	6	8	8	9	7	6	6	6	4	6	5	3	2	7	3	10	1	4	3	9	7											];
Ls=[	10	9	9	10																																];
																																				
dist=[[	3	2	1	1	],																															
[	2	3	1	1	],																															
																																				
[	1	2	2	2	]];																															
																																				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];
