
nbSections=4;
nbReclaimer=3;

nbVessel=20;
nbTask=20;

Q=[1 1 2];

P=[	8	20	11	12	8	16	16	12	18	8	11	10	7	9	11	14	13	14	7	15									];
len=[	4	10	6	6	4	8	8	6	9	4	6	5	4	5	6	7	7	7	4	8									];
ArrivalTime=[	1	62	137	120	29	143	115	111	92	28	44	6	133	83	125	69	81	62	12	27									];
L=[	6	6	3	10	3	6	5	9	10	3	8	6	7	7	10	6	10	4	6	3									];
weight=[	1	5	4	7	3	5	5	10	7	5	3	4	1	8	2	7	7	1	7	4									];
Ls=[	10	8	8	9																									];
																													
dist=[[	1	2	2	3	],																								
[	2	1	2	2	],																								
																													
[	3	2	3	2	]];																								





B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];

AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];


