
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=25;

Q=[1 1 2];

P=[	20	17	16	14	12	14	7	20	15	8	18	16	16	7	10	9	16	11	16	7	6	13	13	12	11											];
len=[	10	9	8	7	6	7	4	10	8	4	9	8	8	4	5	5	8	6	8	4	3	7	7	6	6											];
ArrivalTime=[	1	204	132	180	86	88	113	180	141	104	155	54	18	203	65	209	73	98	6	167	138	101	154	92	44											];
L=[	10	3	4	8	7	5	5	6	7	9	4	5	8	7	8	6	8	10	8	4	10	10	8	4	6											];
weight=[	5	2	6	9	2	2	8	6	10	2	6	7	4	4	3	4	3	5	5	2	2	4	1	5	8											];
Ls=[	10	8	8	10																																];
																																				
dist=[[	2	3	2	1	],																															
[	3	2	1	1	],																															
																																				
[	1	2	1	1	]];																															
																																				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



