
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=25;

Q=[1 1 2];

P=[	19	16	16	7	19	8	6	6	18	17	13	16	8	19	19	18	18	20	14	19	16	14	10	8	15											];
len=[	10	8	8	4	10	4	3	3	9	9	7	8	4	10	10	9	9	10	7	10	8	7	5	4	8											];
ArrivalTime=[	1	202	182	77	136	28	173	138	169	180	101	47	37	43	134	37	158	190	122	25	20	172	190	160	45											];
L=[	6	4	4	5	4	10	10	3	8	8	9	9	7	8	5	9	9	10	7	7	7	5	4	4	3											];
weight=[	2	8	5	3	10	3	7	6	10	5	8	9	10	1	4	4	5	2	7	9	10	3	3	8	10											];
Ls=[	10	7	7	7																																];
																																				
dist=[[	3	1	3	2	],																															
[	1	3	1	3	],																															
																																				
[	3	2	3	3	]];																															
																																				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



