
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=25;

Q=[1 1 2];
P=[	16	9	11	12	13	8	13	18	14	19	18	20	9	19	11	12	10	18	16	20	15	18	14	6	20											];
len=[	8	5	6	6	7	4	7	9	7	10	9	10	5	10	6	6	5	9	8	10	8	9	7	3	10											];
ArrivalTime=[	1	176	100	80	67	64	209	67	14	115	117	200	55	88	59	42	200	125	131	57	167	87	48	9	177											];
L=[	7	8	4	3	6	5	9	10	3	6	6	10	9	8	9	8	9	9	10	10	10	4	4	5	5											];
weight=[	8	7	9	1	3	6	10	2	7	4	10	5	1	4	4	2	8	8	6	8	6	7	9	2	9											];
Ls=[	10	9	9	9																																];
																																				
dist=[[	1	1	2	2	],																															
[	3	3	2	2	],																															
																																				
[	2	2	1	2	]];																															
				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];


