
nbSections=4;
nbReclaimer=3;

nbVessel=10;
nbTask=10;

Q=[1 1 2];




B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 ];

P=[	7	15	7	13	17	19	12	14	16	12																			];
len=[	4	8	4	7	9	10	6	7	8	6																			];
ArrivalTime=[	1	30	48	13	93	22	65	88	67	62																			];
L=[	10	10	6	3	9	9	4	10	10	5																			];
weight=[	4	8	5	10	8	4	6	3	9	1																			];
Ls=[	10	9	8	7																									];
																													
dist=[[	1	1	2	2	],																								
[	1	3	2	1	],																								
																													
[	2	1	3	3	]];																								



D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



