
nbSections=4;
nbReclaimer=3;

nbVessel=25;
nbTask=35;

Q=[1 1 2];
P=[	9	10	8	15	8	10	11	10	11	17	9	19	7	17	10	8	18	9	6	12	20	13	20	20	11	12	18	6	9	10	6	20	10	18	18	];
len=[	5	5	4	8	4	5	6	5	6	9	5	10	4	9	5	4	9	5	3	6	10	7	10	10	6	6	9	3	5	5	3	10	5	9	9	];




ArrivalTime=[1	186	155	72	197	22	1	36	105	35	203	80	197	210	204	180	21	149	6	72	39	90	146	114	105												];

L=[	10	9	8	10	4	9	8	6	3	5	8	5	4	5	7	10	10	7	8	6	9	5	4	5	3											];
weight=[	5	4	1	3	9	5	1	3	6	1	8	9	1	6	2	2	6	3	1	6	4	3	5	1	4											];

Ls=[	10	10	7	8																																];
																																				
dist=[[	2	1	3	1	],																															
[	1	3	3	2	],																															
																																				
[	2	2	2	3	]];																															
																													
																																				


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];


D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];



