
nbSections=4;
nbReclaimer=3;

nbVessel=10;
nbTask=14;

Q=[1 1 2];


	
P=[	9	17	20	20	11	14	12	16	13	15	16	11	8	20															];
len=[	5	9	10	10	6	7	6	8	7	8	8	6	4	10															];
ArrivalTime=[	1	81	44	4	16	70	50	5	35	27																			];
L=[	8	7	7	10	3	8	4	4	5	10																			];
weight=[	10	9	2	4	3	7	4	5	5	6																			];
Ls=[	10	8	9	7																									];
																													
dist=[[	1	3	3	1	],																								
[	2	1	2	1	],																								
																													
[	3	3	1	2	]];																								


B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 1 2 3 4 ];




D=[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3];

vertical=[1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20];




