
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=35;

Q=[1 1 2 2];

P=[	18	16	14	15	11	20	17	17	14	10	6	17	14	8	9	17	6	11	7	8	11	10	20	13	9	10	15	11	15	17	18	18	10	12	6	];
len=[	9	8	7	8	6	10	9	9	7	5	3	9	7	4	5	9	3	6	4	4	6	5	10	7	5	5	8	6	8	9	9	9	5	6	3	];
ArrivalTime=[	1	149	159	109	21	70	90	173	76	165	105	83	27	110	103	148	2	149	51	123	17	196	177	190	9											];
L=[	8	4	8	8	6	7	6	6	5	5	3	8	9	4	10	5	3	3	5	8	10	10	4	8	4											];
weight=[	6	6	5	3	9	10	3	4	5	3	9	9	9	4	3	1	8	2	6	8	3	5	9	7	10											];
Ls=[	10	9	7	9																																];
																																				
dist=[[	3	3	3	3	],																															
[	2	3	2	3	],																															
[	1	2	2	2	],																															
[	3	1	2	3	]];																															



B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];
