
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=10;


//the railtrack on which each reclaimer is mounted
Q=[1 1 2 2];


P=[	7	17	18	10	9	6	12	18	7	20																			];

//length of each stocking pad
len=[	4	9	9	5	5	3	6	9	4	10																			];
ArrivalTime=[	1	81	61	40	77	4	7	76	61	50																			];

//length of vessels
L=[	7	3	6	3	4	9	10	4	7	8																			];
weight=[	5	6	9	1	6	7	4	3	9	2																			];

//length of berths
Ls=[	10	7	7	9																									];
																											//distance between reclaimer and berth		
dist=[[	3	3	2	3	],																								
[	3	1	1	3	],																								
[	3	2	3	3	],																								
[	2	1	1	1	]];																								


B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



//Assigned vessel for each stockpile
AssVessel=[1 2 3 4 5 6 7 8 9 10 ];
