
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=25;

Q=[1 1 2 2];

P=[	20	10	6	16	20	6	8	20	12	17	6	8	14	18	20	11	13	18	9	11	17	19	19	15	19											];
len=[	10	5	3	8	10	3	4	10	6	9	3	4	7	9	10	6	7	9	5	6	9	10	10	8	10											];
ArrivalTime=[	1	209	67	107	115	33	170	100	35	61	165	83	55	75	20	35	53	28	26	119	145	85	15	156	148											];
L=[	6	10	10	3	7	9	7	4	8	10	6	7	5	9	9	9	9	7	9	6	8	3	7	6	9											];
weight=[	3	3	8	8	7	10	7	10	1	1	1	10	2	2	2	6	5	4	10	7	10	4	9	5	5											];
Ls=[	10	7	10	9																																];
																																				
dist=[[	3	3	1	3	],																															
[	3	3	1	2	],																															
[	3	1	3	3	],																															
[	1	2	1	2	]];																															


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];

