
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=35;

Q=[1 1 2 2];

P=[	18	16	9	8	20	15	11	16	17	19	19	10	11	14	8	10	14	8	10	10	16	14	15	11	13	19	15	17	12	11	14	6	15	10	8	];
len=[	9	8	5	4	10	8	6	8	9	10	10	5	6	7	4	5	7	4	5	5	8	7	8	6	7	10	8	9	6	6	7	3	8	5	4	];
ArrivalTime=[	1	157	95	175	140	91	153	10	39	157	95	113	112	205	98	159	86	83	112	119	212	155	47	16	174											];
L=[	3	10	8	10	3	5	3	8	9	6	3	5	7	10	5	6	10	9	5	3	4	10	8	3	5											];
weight=[	6	3	7	5	10	4	2	5	3	6	1	1	7	7	10	5	3	3	5	6	10	1	10	6	8											];
Ls=[	10	10	10	7																																];
																																				
dist=[[	2	3	2	2	],																															
[	2	2	2	1	],																															
[	1	2	1	1	],																															
[	1	1	2	1	]];																															



B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];
