
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=25;

Q=[1 1 2 2];

P=[	17	12	13	12	7	8	17	12	7	7	10	19	8	20	10	19	17	17	6	8	13	17	6	17	8											];
len=[	9	6	7	6	4	4	9	6	4	4	5	10	4	10	5	10	9	9	3	4	7	9	3	9	4											];
ArrivalTime=[	1	98	49	161	99	82	173	151	30	70	214	26	97	164	174	108	169	78	115	143	158	72	114	71	69											];
L=[	4	4	10	8	7	5	4	3	7	6	7	5	8	6	8	10	6	10	8	5	10	10	8	3	4											];
weight=[	6	2	7	5	8	3	10	3	4	4	4	2	3	5	1	10	2	6	9	1	3	5	6	10	4											];
Ls=[	10	10	8	9																																];
																																				
dist=[[	2	1	2	1	],																															
[	1	3	1	1	],																															
[	3	2	3	3	],																															
[	2	3	3	3	]];																															


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ];


