
nbSections=4;
nbReclaimer=4;

nbVessel=10;
nbTask=14;

Q=[1 1 2 2];

P=[	7	7	19	17	7	14	17	14	8	16	10	11	9	20															];
len=[	4	4	10	9	4	7	9	7	4	8	5	6	5	10															];
ArrivalTime=[	1	53	87	94	6	58	94	61	84	84																			];
L=[	8	10	3	8	9	3	10	4	7	5																			];
weight=[	4	10	2	2	2	4	1	2	5	8																			];
Ls=[	10	9	9	9																									];
																													
dist=[[	2	3	2	1	],																								
[	1	3	1	3	],																								
[	3	3	2	1	],																								
[	3	1	2	1	]];																								
																													



B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 1 2 3 4 ];
