
nbSections=4;
nbReclaimer=4;

nbVessel=15;
nbTask=15;

Q=[1 1 2 2];
P=[	20	10	19	11	15	10	16	17	14	20	18	10	15	12	12														];
len=[	10	5	10	6	8	5	8	9	7	10	9	5	8	6	6														];
ArrivalTime=[	1	42	74	57	47	47	38	48	19	89	75	12	85	45	45														];
L=[	9	4	8	7	4	9	4	4	5	4	5	8	10	6	6														];
weight=[	1	5	1	3	4	9	6	2	8	6	1	1	5	8	3														];
Ls=[	10	7	8	7																									];
																													
dist=[[	2	1	2	3	],																								
[	1	3	3	2	],																								
[	2	3	2	3	],																								
[	1	3	3	1	]];																								



B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168];



AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15];
