
nbSections=4;
nbReclaimer=4;

nbVessel=20;
nbTask=20;

Q=[1 1 2 2];

P=[	6	19	6	7	12	19	15	8	10	14	14	9	7	14	6	9	18	9	12	6									];
len=[	3	10	3	4	6	10	8	4	5	7	7	5	4	7	3	5	9	5	6	3									];
ArrivalTime=[	1	82	68	110	126	34	109	79	100	125	37	14	133	48	108	144	78	85	28	76									];
L=[	3	6	4	6	9	10	4	7	6	4	7	8	10	9	3	6	10	10	4	8									];
weight=[	9	9	5	10	3	4	2	1	7	5	3	3	1	3	10	10	6	2	7	8									];
Ls=[	10	8	9	9																									];
																													
dist=[[	1	1	3	3	],																								
[	2	3	2	2	],																								
[	2	2	3	3	],																								
[	1	3	2	1	]];																								




B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];

AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20];


