
nbSections=4;
nbReclaimer=4;

nbVessel=20;
nbTask=20;
 
Q=[1 1 2 2];

P=[	14	8	17	6	12	20	18	20	13	14	11	10	9	20	9	14	19	6	11	11									];
len=[	7	4	9	3	6	10	9	10	7	7	6	5	5	10	5	7	10	3	6	6									];
ArrivalTime=[	1	22	128	9	131	68	51	5	106	62	26	32	43	22	123	55	80	119	142	13									];
L=[	8	8	6	6	6	9	9	9	7	7	10	3	4	3	8	3	10	9	4	8									];
weight=[	4	8	4	4	4	1	5	8	2	4	2	1	2	5	2	10	5	4	6	8									];
Ls=[	10	9	7	7																									];
																													
dist=[[	3	1	3	2	],																								
[	3	2	1	1	],																								
[	2	3	2	2	],																								
[	2	1	1	3	]];																								




B=[1 13 26 38 51 63 76 89 101 114 126 139 151 164 176 189 202 215 229 244];
E=[7 20 32 44 57 69 83 94 108 120 133 145 158 168 181 195 208 219 233 252];
AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20];

