
nbSections=4;
nbReclaimer=4;

nbVessel=25;
nbTask=35;

Q=[1 1 2 2];

P=[	17	12	20	16	20	6	16	9	11	7	11	15	13	6	17	14	20	10	17	19	16	14	14	10	19	19	18	6	7	14	17	9	7	14	8	];
len=[	9	6	10	8	10	3	8	5	6	4	6	8	7	3	9	7	10	5	9	10	8	7	7	5	10	10	9	3	4	7	9	5	4	7	4	];
ArrivalTime=[	1	56	84	100	177	75	153	145	185	107	32	209	153	62	77	185	158	189	140	40	171	72	75	146	101											];
L=[	5	10	9	9	6	4	10	6	4	10	5	8	9	10	5	9	10	6	10	5	6	3	5	8	3											];
weight=[	6	9	1	2	7	7	10	7	3	7	9	7	8	9	7	5	1	9	4	4	4	6	10	5	4											];
Ls=[	10	9	10	7																																];
																																				
dist=[[	1	2	1	3	],																															
[	2	2	2	1	],																															
[	2	1	1	1	],																															
[	2	1	2	1	]];																															


B=[	1	13	26	38	51	63	76	89	101	114	126	139	151	164	175	188	201	213	226	238	251	264	276	289	301	314	327	];
E=[	7	20	32	44	57	69	83	94	108	120	133	145	158	168	181	194	206	218	231	243	257	268	282	294	307	320	336	];


AssVessel=[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 1 2 3 4 5 6 7 8 9 10 ];
